Sales ID,Created At,Quantity,Gross Sales,Discount ($),Tax,Net Sales,Product ID,Product Name,Category,Customer ID,Customer Name,Customer City,Customer State,Customer Source
46,"2018-6-14, 10:09:15",4,289.84,0.00,28.98,260.86,8,Enormous Steel Watch,Doohickey,8,Aracely Jenkins,Pittsburg,KS,Facebook
47,"2018-7-6, 07:35:40",4,310.23,0.00,31.02,279.21,104,Sleek Leather Toucan,Widget,8,Aracely Jenkins,Pittsburg,KS,Facebook
48,"2019-5-17, 03:17:06",5,243.91,0.00,24.39,219.52,140,Sleek Copper Watch,Gadget,8,Aracely Jenkins,Pittsburg,KS,Facebook
49,"2019-11-17, 16:19:09",3,300.67,0.00,30.07,270.61,157,Intelligent Granite Hat,Widget,8,Aracely Jenkins,Pittsburg,KS,Facebook
50,"2018-1-1, 14:26:31",2,162.79,0.00,16.28,146.51,12,Sleek Paper Toucan,Gizmo,8,Aracely Jenkins,Pittsburg,KS,Facebook
51,"2017-12-6, 10:46:28",2,106.07,0.00,10.61,95.47,114,Practical Plastic Keyboard,Doohickey,8,Aracely Jenkins,Pittsburg,KS,Facebook
52,"2018-7-16, 06:04:22",3,157.33,0.00,15.73,141.59,34,Heavy-Duty Wooden Clock,Gadget,9,Anais Ward,Ida Grove,IA,Twitter
53,"2018-9-15, 20:06:14",3,85.42,0.00,8.54,76.87,79,Sleek Aluminum Clock,Gizmo,9,Anais Ward,Ida Grove,IA,Twitter
54,"2018-10-27, 03:41:23",4,323.1,7.64,31.55,283.92,68,Heavy-Duty Copper Toucan,Gizmo,10,Tressa White,Upper Sandusky,OH,Google
55,"2017-8-16, 16:51:35",5,247,0.00,24.7,222.3,149,Incredible Aluminum Knife,Widget,10,Tressa White,Upper Sandusky,OH,Google
56,"2016-12-2, 15:04:45",1,81.75,0.00,8.17,73.57,109,Intelligent Iron Shirt,Widget,10,Tressa White,Upper Sandusky,OH,Google
57,"2020-2-5, 10:28:52",1,25.7,0.00,2.57,23.13,42,Awesome Rubber Wallet,Widget,10,Tressa White,Upper Sandusky,OH,Google
58,"2019-3-9, 08:05:15",1,45.22,0.00,4.52,40.7,91,Rustic Rubber Knife,Gizmo,10,Tressa White,Upper Sandusky,OH,Google
59,"2019-4-12, 01:53:36",1,57.69,0.00,5.77,51.92,71,Sleek Granite Pants,Gadget,10,Tressa White,Upper Sandusky,OH,Google
60,"2018-7-10, 10:17:28",2,172.2,0.00,17.22,154.98,92,Small Granite Gloves,Gizmo,10,Tressa White,Upper Sandusky,OH,Google
61,"2019-9-23, 18:07:08",3,275.03,0.00,27.5,247.52,11,Ergonomic Silk Coat,Gadget,10,Tressa White,Upper Sandusky,OH,Google
62,"2018-10-14, 02:02:04",6,307.97,0.00,30.8,277.17,198,Enormous Copper Shirt,Gizmo,10,Tressa White,Upper Sandusky,OH,Google
63,"2018-4-15, 02:47:06",3,157.79,0.00,15.78,142.01,58,Practical Steel Table,Gadget,10,Tressa White,Upper Sandusky,OH,Google
64,"2019-2-23, 23:13:35",2,95.38,0.00,9.54,85.84,65,Ergonomic Silk Table,Widget,10,Tressa White,Upper Sandusky,OH,Google
65,"2018-9-15, 06:33:17",5,152.5,0.00,15.25,137.25,53,Mediocre Cotton Toucan,Doohickey,10,Tressa White,Upper Sandusky,OH,Google
66,"2018-3-31, 03:03:22",1,27.3,3.44,2.39,21.47,15,Aerodynamic Paper Computer,Widget,10,Tressa White,Upper Sandusky,OH,Google
67,"2018-5-30, 12:01:21",5,166.47,7.81,15.87,142.79,152,Enormous Aluminum Clock,Widget,10,Tressa White,Upper Sandusky,OH,Google
68,"2019-5-28, 21:47:23",5,245.75,0.00,24.57,221.17,25,Durable Marble Watch,Widget,12,Ciara Larson,Florence,SD,Facebook
69,"2019-6-28, 21:19:18",8,313.96,0.00,31.4,282.56,183,Mediocre Aluminum Lamp,Gizmo,12,Ciara Larson,Florence,SD,Facebook
70,"2019-11-21, 18:21:36",3,67.6,0.00,6.76,60.84,22,Enormous Marble Shoes,Gizmo,12,Ciara Larson,Florence,SD,Facebook
71,"2017-9-1, 18:51:46",4,137.66,0.00,13.77,123.89,161,Heavy-Duty Rubber Gloves,Doohickey,12,Ciara Larson,Florence,SD,Facebook
72,"2017-7-18, 17:51:55",5,407.35,0.00,40.74,366.62,13,Synergistic Steel Chair,Gizmo,12,Ciara Larson,Florence,SD,Facebook
73,"2019-8-18, 09:49:20",7,495.12,0.00,49.51,445.61,122,Gorgeous Marble Plate,Gizmo,12,Ciara Larson,Florence,SD,Facebook
74,"2020-2-20, 07:36:30",1,55.69,1.85,5.38,48.46,154,Incredible Bronze Wallet,Widget,12,Ciara Larson,Florence,SD,Facebook
75,"2017-4-11, 06:33:10",2,156.87,0.00,15.69,141.19,13,Synergistic Steel Chair,Gizmo,12,Ciara Larson,Florence,SD,Facebook
76,"2016-12-20, 02:40:17",2,53.42,0.00,5.34,48.08,185,Sleek Marble Table,Gadget,15,Bertrand Romaguera,El Paso,AR,Twitter
77,"2019-9-28, 04:32:36",4,265.68,0.00,26.57,239.11,86,Heavy-Duty Silk Chair,Doohickey,15,Bertrand Romaguera,El Paso,AR,Twitter
78,"2018-5-2, 22:42:21",5,134.27,0.00,13.43,120.84,165,Aerodynamic Copper Knife,Gizmo,15,Bertrand Romaguera,El Paso,AR,Twitter
79,"2018-4-25, 22:55:31",4,365.68,0.00,36.57,329.11,49,Incredible Silk Shoes,Gadget,15,Bertrand Romaguera,El Paso,AR,Twitter
80,"2019-4-15, 21:49:30",4,155.55,0.00,15.55,139.99,85,Rustic Copper Knife,Gizmo,15,Bertrand Romaguera,El Paso,AR,Twitter
81,"2019-10-29, 10:41:26",4,390.95,6.01,38.49,346.45,157,Intelligent Granite Hat,Widget,15,Bertrand Romaguera,El Paso,AR,Twitter
82,"2018-1-3, 16:10:59",2,57.05,0.00,5.71,51.35,78,Mediocre Aluminum Shirt,Gizmo,16,Khalid Pouros,Greensboro,AL,Google
83,"2018-4-29, 01:48:34",3,126.55,6.01,12.05,108.49,169,Small Cotton Chair,Doohickey,16,Khalid Pouros,Greensboro,AL,Google
84,"2019-12-26, 21:29:19",2,77.34,0.00,7.73,69.61,183,Mediocre Aluminum Lamp,Gizmo,16,Khalid Pouros,Greensboro,AL,Google
85,"2019-6-5, 15:15:20",6,462.98,0.00,46.3,416.68,104,Sleek Leather Toucan,Widget,16,Khalid Pouros,Greensboro,AL,Google
86,"2016-6-8, 17:56:25",6,278.22,0.00,27.82,250.4,147,Mediocre Wool Toucan,Doohickey,16,Khalid Pouros,Greensboro,AL,Google
87,"2019-5-6, 08:41:27",3,171.21,0.00,17.12,154.09,17,Enormous Wool Car,Doohickey,16,Khalid Pouros,Greensboro,AL,Google
88,"2019-8-10, 08:39:40",7,186.05,0.00,18.6,167.44,14,Awesome Concrete Shoes,Widget,16,Khalid Pouros,Greensboro,AL,Google
89,"2016-8-28, 23:44:40",7,597.48,0.00,59.75,537.73,90,Incredible Concrete Keyboard,Gizmo,16,Khalid Pouros,Greensboro,AL,Google
90,"2016-12-29, 15:29:20",1,84.17,0.00,8.42,75.75,87,Gorgeous Linen Bottle,Widget,16,Khalid Pouros,Greensboro,AL,Google
91,"2019-2-18, 19:57:11",2,54.56,0.00,5.46,49.1,185,Sleek Marble Table,Gadget,17,Lora Cronin,Gold Beach,OR,Organic
92,"2017-3-26, 15:45:35",1,45.91,0.00,4.59,41.32,147,Mediocre Wool Toucan,Doohickey,17,Lora Cronin,Gold Beach,OR,Organic
93,"2017-6-18, 18:15:50",4,108.94,0.00,10.89,98.05,15,Aerodynamic Paper Computer,Widget,17,Lora Cronin,Gold Beach,OR,Organic
94,"2019-8-1, 07:15:06",4,334.32,0.00,33.43,300.88,172,Practical Aluminum Table,Gizmo,17,Lora Cronin,Gold Beach,OR,Organic
95,"2017-9-12, 22:12:48",4,180.6,0.00,18.06,162.54,76,Sleek Marble Clock,Widget,17,Lora Cronin,Gold Beach,OR,Organic
96,"2018-9-27, 06:27:09",4,190.53,0.00,19.05,171.47,140,Sleek Copper Watch,Gadget,17,Lora Cronin,Gold Beach,OR,Organic
97,"2019-7-1, 08:51:26",4,149.83,0.00,14.98,134.85,110,Enormous Marble Gloves,Widget,17,Lora Cronin,Gold Beach,OR,Organic
98,"2020-4-6, 07:45:35",3,141.19,0.00,14.12,127.07,26,Ergonomic Aluminum Plate,Widget,17,Lora Cronin,Gold Beach,OR,Organic
99,"2019-12-23, 16:54:13",1,82.64,0.00,8.26,74.38,199,Mediocre Leather Coat,Widget,17,Lora Cronin,Gold Beach,OR,Organic
100,"2017-3-29, 05:58:05",0,0,0.00,0,0,84,Incredible Plastic Chair,Gizmo,17,Lora Cronin,Gold Beach,OR,Organic
101,"2018-9-14, 13:42:41",3,128.95,5.05,12.39,111.51,30,Ergonomic Paper Wallet,Gadget,17,Lora Cronin,Gold Beach,OR,Organic
102,"2017-12-2, 11:32:23",2,68.38,0.00,6.84,61.55,95,Durable Iron Knife,Gizmo,17,Lora Cronin,Gold Beach,OR,Organic
103,"2019-9-16, 01:30:40",5,427.42,0.00,42.74,384.67,172,Practical Aluminum Table,Gizmo,17,Lora Cronin,Gold Beach,OR,Organic
104,"2020-2-16, 01:57:49",2,164.16,0.00,16.42,147.74,23,Fantastic Aluminum Bottle,Widget,17,Lora Cronin,Gold Beach,OR,Organic
105,"2018-3-1, 07:41:52",1,39.02,0.00,3.9,35.12,118,Synergistic Rubber Shoes,Gadget,17,Lora Cronin,Gold Beach,OR,Organic
106,"2019-6-16, 14:59:05",4,385.32,0.00,38.53,346.79,158,Aerodynamic Leather Toucan,Gizmo,17,Lora Cronin,Gold Beach,OR,Organic
107,"2017-5-8, 06:40:43",3,247.43,0.00,24.74,222.68,12,Sleek Paper Toucan,Gizmo,17,Lora Cronin,Gold Beach,OR,Organic
108,"2017-12-1, 13:15:20",18,"1,677.43",0.00,167.74,"1,509.69",127,Practical Bronze Watch,Widget,17,Lora Cronin,Gold Beach,OR,Organic
109,"2019-9-14, 13:23:32",3,249.19,0.00,24.92,224.27,172,Practical Aluminum Table,Gizmo,17,Lora Cronin,Gold Beach,OR,Organic
110,"2017-5-13, 05:58:40",4,132,0.00,13.2,118.8,102,Lightweight Granite Hat,Gadget,17,Lora Cronin,Gold Beach,OR,Organic
111,"2020-4-19, 15:27:25",3,76.59,0.00,7.66,68.93,56,Awesome Silk Car,Doohickey,17,Lora Cronin,Gold Beach,OR,Organic
112,"2018-6-12, 11:48:40",7,367.89,0.00,36.79,331.1,115,Rustic Silk Knife,Gadget,17,Lora Cronin,Gold Beach,OR,Organic
113,"2019-9-2, 05:01:35",5,285.15,0.00,28.51,256.63,182,Practical Silk Bottle,Gadget,17,Lora Cronin,Gold Beach,OR,Organic
114,"2019-12-8, 23:20:25",2,69.23,0.00,6.92,62.31,108,Practical Silk Computer,Gadget,17,Lora Cronin,Gold Beach,OR,Organic
115,"2017-8-30, 13:13:52",6,560.79,0.00,56.08,504.71,191,Heavy-Duty Linen Gloves,Gadget,18,Arely Pollich,Portland,OR,Affiliate
116,"2019-1-2, 01:48:23",2,58.81,0.00,5.88,52.93,67,Aerodynamic Granite Bottle,Gizmo,18,Arely Pollich,Portland,OR,Affiliate
117,"2018-2-26, 09:43:13",2,186.64,0.00,18.66,167.97,49,Incredible Silk Shoes,Gadget,18,Arely Pollich,Portland,OR,Affiliate
118,"2018-12-18, 11:49:24",29,"1,618.56",0.00,161.86,"1,456.7",37,Incredible Granite Toucan,Gadget,18,Arely Pollich,Portland,OR,Affiliate
119,"2020-3-27, 06:06:05",1,47.3,0.00,4.73,42.57,198,Enormous Copper Shirt,Gizmo,18,Arely Pollich,Portland,OR,Affiliate
120,"2017-3-30, 04:28:18",1,58.83,0.00,5.88,52.94,84,Incredible Plastic Chair,Gizmo,18,Arely Pollich,Portland,OR,Affiliate
121,"2018-2-3, 12:48:55",1,43.77,5.66,3.81,34.29,144,Aerodynamic Bronze Hat,Widget,18,Arely Pollich,Portland,OR,Affiliate
122,"2019-1-1, 03:08:35",2,91.23,0.00,9.12,82.11,41,Aerodynamic Paper Coat,Widget,18,Arely Pollich,Portland,OR,Affiliate
123,"2017-11-20, 00:22:48",3,243.9,0.00,24.39,219.51,131,Practical Aluminum Coat,Widget,18,Arely Pollich,Portland,OR,Affiliate
124,"2017-6-13, 19:29:10",5,235.52,0.00,23.55,211.97,26,Ergonomic Aluminum Plate,Widget,18,Arely Pollich,Portland,OR,Affiliate
125,"2018-7-18, 08:04:09",4,419.45,0.00,41.95,377.51,129,Small Marble Knife,Gizmo,19,Wyman Kertzmann,Grants Pass,OR,Affiliate
126,"2019-7-25, 07:26:35",4,191.07,0.56,19.05,171.46,149,Incredible Aluminum Knife,Widget,19,Wyman Kertzmann,Grants Pass,OR,Affiliate
127,"2019-8-27, 08:20:16",4,192.59,0.00,19.26,173.33,25,Durable Marble Watch,Widget,20,John Aufderhar,Marne,IA,Affiliate
128,"2018-5-29, 08:45:46",3,91.43,0.00,9.14,82.29,134,Practical Paper Bag,Doohickey,20,John Aufderhar,Marne,IA,Affiliate
129,"2019-4-27, 05:49:56",3,232.68,0.00,23.27,209.41,12,Sleek Paper Toucan,Gizmo,20,John Aufderhar,Marne,IA,Affiliate
130,"2017-5-13, 22:57:14",3,142.77,5.06,13.77,123.94,100,Lightweight Steel Knife,Gizmo,20,John Aufderhar,Marne,IA,Affiliate
131,"2020-2-6, 05:42:57",6,470.96,0.00,47.1,423.86,39,Durable Rubber Computer,Gizmo,20,John Aufderhar,Marne,IA,Affiliate
132,"2018-7-22, 10:39:51",2,64.78,0.00,6.48,58.31,161,Heavy-Duty Rubber Gloves,Doohickey,20,John Aufderhar,Marne,IA,Affiliate
133,"2016-10-25, 18:08:11",4,353.84,5.87,34.8,313.18,36,Mediocre Plastic Clock,Gizmo,20,John Aufderhar,Marne,IA,Affiliate
134,"2020-2-28, 20:48:53",1,81.56,0.00,8.16,73.4,87,Gorgeous Linen Bottle,Widget,20,John Aufderhar,Marne,IA,Affiliate
135,"2018-1-4, 21:19:57",1,56.66,0.00,5.67,51,120,Heavy-Duty Copper Watch,Widget,21,Angela Botsford,Phillips,NE,Twitter
136,"2018-11-22, 05:12:37",2,155.51,0.00,15.55,139.96,116,Aerodynamic Concrete Bench,Gizmo,21,Angela Botsford,Phillips,NE,Twitter
137,"2017-2-25, 14:42:53",1,90.77,0.00,9.08,81.69,126,Practical Wool Hat,Widget,21,Angela Botsford,Phillips,NE,Twitter
138,"2018-3-26, 08:51:23",1,92.53,0.00,9.25,83.28,62,Awesome Iron Hat,Widget,21,Angela Botsford,Phillips,NE,Twitter
139,"2017-8-1, 03:42:22",3,154,0.00,15.4,138.6,128,Gorgeous Aluminum Plate,Gizmo,21,Angela Botsford,Phillips,NE,Twitter
140,"2017-8-25, 17:54:07",6,482.77,0.00,48.28,434.49,4,Enormous Aluminum Shirt,Doohickey,21,Angela Botsford,Phillips,NE,Twitter
141,"2019-6-21, 22:05:41",5,432.2,0.00,43.22,388.98,132,Sleek Steel Table,Widget,22,Jeromy Smith,Napa,CA,Twitter
142,"2018-1-31, 02:26:07",2,168.49,0.00,16.85,151.64,57,Gorgeous Bronze Hat,Gizmo,22,Jeromy Smith,Napa,CA,Twitter
143,"2018-4-6, 03:31:27",2,160.02,2.10,15.79,142.13,24,Synergistic Marble Keyboard,Doohickey,22,Jeromy Smith,Napa,CA,Twitter
144,"2016-12-11, 23:41:35",1,27.02,0.00,2.7,24.32,15,Aerodynamic Paper Computer,Widget,22,Jeromy Smith,Napa,CA,Twitter
145,"2017-3-18, 14:40:09",1,59.55,0.00,5.96,53.6,120,Heavy-Duty Copper Watch,Widget,22,Jeromy Smith,Napa,CA,Twitter
146,"2017-9-30, 02:13:15",6,377.16,0.00,37.72,339.45,189,Gorgeous Marble Computer,Widget,22,Jeromy Smith,Napa,CA,Twitter
147,"2019-5-24, 22:36:17",4,239.07,0.00,23.91,215.16,71,Sleek Granite Pants,Gadget,22,Jeromy Smith,Napa,CA,Twitter
148,"2019-1-26, 21:21:47",1,36.75,0.00,3.68,33.08,106,Fantastic Steel Knife,Doohickey,22,Jeromy Smith,Napa,CA,Twitter
149,"2020-1-26, 02:05:08",2,155.11,0.00,15.51,139.6,199,Mediocre Leather Coat,Widget,22,Jeromy Smith,Napa,CA,Twitter
150,"2018-11-6, 21:12:49",3,232.58,0.00,23.26,209.32,104,Sleek Leather Toucan,Widget,22,Jeromy Smith,Napa,CA,Twitter
151,"2019-12-19, 14:14:30",1,30.29,0.00,3.03,27.26,78,Mediocre Aluminum Shirt,Gizmo,22,Jeromy Smith,Napa,CA,Twitter
152,"2018-4-29, 06:03:07",3,50.41,0.00,5.04,45.37,61,Mediocre Paper Car,Gizmo,22,Jeromy Smith,Napa,CA,Twitter
153,"2018-11-28, 22:57:37",3,270.3,0.00,27.03,243.27,29,Durable Steel Toucan,Widget,23,Candida Kiehn,Girard,GA,Facebook
154,"2019-12-25, 17:11:36",1,55.37,0.00,5.54,49.84,83,Lightweight Bronze Table,Gadget,23,Candida Kiehn,Girard,GA,Facebook
155,"2018-4-6, 16:28:38",2,86.57,0.00,8.66,77.91,21,Lightweight Wool Bag,Gadget,23,Candida Kiehn,Girard,GA,Facebook
156,"2020-3-12, 08:55:46",1,63.81,0.00,6.38,57.43,189,Gorgeous Marble Computer,Widget,23,Candida Kiehn,Girard,GA,Facebook
157,"2019-1-15, 01:54:49",2,142.25,0.00,14.23,128.03,104,Sleek Leather Toucan,Widget,23,Candida Kiehn,Girard,GA,Facebook
158,"2019-8-18, 08:58:34",9,272.61,0.00,27.26,245.35,78,Mediocre Aluminum Shirt,Gizmo,23,Candida Kiehn,Girard,GA,Facebook
159,"2018-2-1, 06:55:52",3,162.59,0.00,16.26,146.33,114,Practical Plastic Keyboard,Doohickey,23,Candida Kiehn,Girard,GA,Facebook
160,"2018-3-2, 06:52:38",1,27.68,0.00,2.77,24.92,165,Aerodynamic Copper Knife,Gizmo,23,Candida Kiehn,Girard,GA,Facebook
161,"2020-4-4, 11:31:57",2,171.17,3.19,16.8,151.18,29,Durable Steel Toucan,Widget,24,Nya Weber,Cohasset,MN,Facebook
162,"2019-5-26, 21:41:31",3,266.55,3.19,26.34,237.02,126,Practical Wool Hat,Widget,24,Nya Weber,Cohasset,MN,Facebook
163,"2018-4-7, 09:25:01",3,272.86,0.00,27.29,245.58,75,Intelligent Paper Hat,Gadget,24,Nya Weber,Cohasset,MN,Facebook
164,"2018-10-22, 16:59:09",7,233.83,0.00,23.38,210.45,33,Small Plastic Computer,Doohickey,24,Nya Weber,Cohasset,MN,Facebook
165,"2019-8-14, 19:35:14",7,227.67,0.00,22.77,204.91,10,Mediocre Wooden Table,Gizmo,24,Nya Weber,Cohasset,MN,Facebook
166,"2019-7-19, 20:10:13",5,314.77,0.00,31.48,283.29,151,Lightweight Leather Bench,Gizmo,24,Nya Weber,Cohasset,MN,Facebook
167,"2019-11-16, 01:06:11",3,156.38,0.00,15.64,140.74,200,Intelligent Steel Car,Gadget,24,Nya Weber,Cohasset,MN,Facebook
168,"2018-4-15, 05:05:46",2,144.21,0.00,14.42,129.79,186,Ergonomic Concrete Lamp,Gizmo,24,Nya Weber,Cohasset,MN,Facebook
169,"2019-8-14, 03:36:50",5,240.42,0.00,24.04,216.37,73,Aerodynamic Rubber Bench,Widget,24,Nya Weber,Cohasset,MN,Facebook
170,"2019-8-3, 15:33:03",7,284.53,0.00,28.45,256.08,118,Synergistic Rubber Shoes,Gadget,24,Nya Weber,Cohasset,MN,Facebook
171,"2020-4-2, 00:48:42",3,164.73,3.08,16.17,145.49,58,Practical Steel Table,Gadget,29,Broderick Lockman,Lancaster,OH,Facebook
172,"2020-2-17, 19:53:40",2,68.83,0.00,6.88,61.94,152,Enormous Aluminum Clock,Widget,29,Broderick Lockman,Lancaster,OH,Facebook
173,"2018-10-23, 01:56:58",7,307.58,0.00,30.76,276.82,91,Rustic Rubber Knife,Gizmo,29,Broderick Lockman,Lancaster,OH,Facebook
174,"2020-4-9, 19:03:00",3,268.39,3.08,26.53,238.78,190,Ergonomic Cotton Bag,Gadget,29,Broderick Lockman,Lancaster,OH,Facebook
175,"2019-1-30, 17:19:21",2,105.78,0.00,10.58,95.2,58,Practical Steel Table,Gadget,29,Broderick Lockman,Lancaster,OH,Facebook
176,"2018-10-16, 08:03:54",7,397.72,0.00,39.77,357.95,154,Incredible Bronze Wallet,Widget,29,Broderick Lockman,Lancaster,OH,Facebook
177,"2019-6-13, 11:34:32",6,339.87,0.00,33.99,305.88,154,Incredible Bronze Wallet,Widget,30,Desiree Walsh,DeWitt,AR,Affiliate
